BuildingType,GHGEmissionsIntensity,LargestPropertyUseType,Latitude,ListOfAllPropertyUseTypes,Longitude,Neighborhood,NumberofFloors,OSEBuildingID,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,TotalGHGEmissions,NumberofBuildings,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),buildingAge,SteamRatio,ElectricityRatio,NaturalGasRatio
School,0.16,K-12 School,47.5636,K-12 School,-122.358,DELRIDGE,3.0,118.0,K-12 School,74468.0,0.0,74468.0,11.84,1.0,75364.0,99.66666666666667,0.0,0.0,17.0,,inf,
NonResidential,1.16,K-12 School,47.62548,K-12 School,-122.30828,EAST,3.0,119.0,K-12 School,67743.0,0.0,67743.0,78.85,1.0,67743.0,34.0,39.09999847,2646879.0,93.0,0.0,0.5054201570982277,0.49457984290177226
NonResidential,1.25,K-12 School,47.62644,K-12 School,-122.30429,EAST,6.0,120.0,K-12 School,194104.0,0.0,194104.0,243.23,1.0,194104.0,100.0,32.0,6219841.5,108.0,0.0,0.30352750950325663,0.6964725708846439
NonResidential,0.34,Office,47.58408,"Office, Parking",-122.30125,SOUTHEAST,3.0,121.0,Small- and Mid-Sized Office,63681.0,35752.0,99433.0,34.14,1.0,63681.0,63.0,76.90000153,4897760.0,13.0,0.0,1.0,0.0
School,0.28,K-12 School,47.57324,K-12 School,-122.29058,SOUTHEAST,2.0,122.0,K-12 School,58933.0,0.0,58933.0,16.36,1.0,60725.0,99.66666666666667,0.0,0.0,25.0,,inf,
School,1.82,K-12 School,47.56413,K-12 School,-122.31208,GREATER DUWAMISH,1.0,125.0,K-12 School,130862.0,0.0,130862.0,238.48,1.0,134446.0,61.0,48.0,6456026.0,59.0,0.0,0.35049734929815957,0.6495028055958882
School,0.34,K-12 School,47.55478,K-12 School,-122.27596,SOUTHEAST,3.0,127.0,K-12 School,59955.0,0.0,59955.0,20.48,1.0,59955.0,93.0,27.20000076,1633399.375,27.0,0.0,0.8794028098608768,0.12059696055656934
School,0.91,K-12 School,47.63683,K-12 School,-122.35896,MAGNOLIA / QUEEN ANNE,2.0,130.0,K-12 School,93218.0,0.0,93218.0,84.75,1.0,93218.0,86.0,31.0,2887392.0,52.0,0.0,0.5149138045682747,0.48508619543172526
NonResidential,0.78,Other,47.67524,Other,-122.31534,NORTHEAST,4.0,131.0,Other,56521.0,0.0,56521.0,44.32,1.0,49000.0,62.666666666666664,129.6999969,6357632.0,75.0,0.0,0.9999998427087318,0.0
NonResidential,0.65,Other,47.67559,"Other, Parking",-122.31769,NORTHEAST,2.0,132.0,Other,206934.0,0.0,206934.0,133.58,1.0,119146.0,83.33333333333333,35.70000076,4253577.5,87.0,0.0,0.4704517550226838,0.5295481274292052
NonResidential,2.48,Hotel,47.73141,"Hotel, Parking",-122.3458,NORTHWEST,4.0,136.0,Hotel,51390.0,0.0,51390.0,127.29,1.0,51390.0,89.0,70.30000305,3611538.0,15.0,0.0,0.3871727225353852,0.6128272774646149
School,0.95,K-12 School,47.72463,K-12 School,-122.35315,NORTHWEST,2.0,137.0,K-12 School,131013.0,0.0,131013.0,124.92,1.0,131909.0,88.0,29.5,3894584.5,53.0,0.0,0.4558863724743936,0.5441137559090065
School,1.81,K-12 School,47.7257,K-12 School,-122.33684,NORTHWEST,1.0,138.0,K-12 School,245587.0,0.0,245587.0,443.73,1.0,245587.0,92.0,47.90000153,11765682.0,57.0,0.0,0.3336832493008055,0.6663166657062464
NonResidential,1.29,Hotel,47.72551,Hotel,-122.3423,NORTHWEST,3.0,139.0,Hotel,69138.0,0.0,69138.0,89.02,1.0,70609.0,78.0,45.90000153,3242458.0,14.0,0.0,0.5560253980159496,0.44397429357604634
School,0.22,K-12 School,47.65464,K-12 School,-122.34912,LAKE UNION,3.0,140.0,K-12 School,66588.0,0.0,66588.0,14.67,1.0,66588.0,99.66666666666667,0.0,0.0,25.0,,inf,
NonResidential,0.75,Hotel,47.6048,"Hotel, Parking",-122.3368,DOWNTOWN,5.0,144.0,Hotel,190980.0,0.0,190980.0,142.39,1.0,190980.0,98.0,34.09999847,6505995.0,112.0,0.0,0.6767466006352603,0.32325324566034863
NonResidential,1.51,Other - Entertainment/Public Assembly,47.60804,Other - Entertainment/Public Assembly,-122.3367,DOWNTOWN,6.0,145.0,Other,284100.0,0.0,284100.0,429.12,1.0,189750.0,51.0,77.19999695,14641502.0,18.0,0.2944462938296904,0.6695365680378966,0.036017001534405416
NonResidential,6.98,Hospital (General Medical & Surgical),47.66737,"Hospital (General Medical & Surgical), Parking",-122.37956,BALLARD,5.0,147.0,Hospital,285333.0,0.0,285333.0,1990.5,4.0,302661.0,14.0,225.0,68090728.0,62.0,0.0,0.5175037194491444,0.4824961190016943
School,0.19,K-12 School,47.6706,K-12 School,-122.36225,Ballard,2.0,148.0,K-12 School,55513.0,0.0,55513.0,10.55,1.0,59097.0,93.0,25.60000038,1513570.75,25.0,0.0,1.0000001651723252,0.0
NonResidential,2.89,Other,47.60112,"Office, Other",-122.32785,DOWNTOWN,4.0,163.0,Other,61156.0,0.0,61156.0,176.75,1.0,42755.0,17.666666666666668,130.1000061,9363374.0,10.0,0.0,0.741962245660592,0.258037754339408
